,CoinName,0,1,class
6,Dash,16.694157,-0.5583435,1
10,Bitshares,5.208193,-8.271453,1
16,Spreadcoin,12.887165,-1.2322068,1
33,CryptCoin,13.029275,-1.6739876,1
42,Exclusive Coin,14.7067375,-13.871424,1
50,HyperStake,12.709366,-4.779082,1
52,IOCoin,16.054802,-0.9136656,1
60,MintCoin,10.5816765,-9.142536,1
63,Nautilus Coin,9.895286,-8.793778,1
76,SuperCoin,12.711451,-4.776393,1
77,SyncCoin,16.912012,-1.2219834,1
82,TorCoin,16.225552,-1.182444,1
86,UroCoin,13.079719,-1.7249495,1
91,Vertcoin,3.629326,-3.4612799,1
93,X11 Coin,17.256943,-0.8154768,1
101,StorjCoin,12.19465,-9.687154,1
106,RubyCoin,9.77338,-9.066448,1
110,Dnotes,10.35529,-8.687841,1
116,Ucoin,12.711474,-4.7763524,1
126,IslaCoin,16.799004,-1.2685393,1
128,MarsCoin ,13.196796,-1.7610266,1
132,BowsCoin,12.8878145,-1.3961232,1
133,Squall Coin,13.579818,4.462243,1
136,Diggits,9.908872,-9.429908,1
142,MindCoin,12.882462,-1.4069505,1
144,Decred,1.7589067,3.221083,1
148,Hitcoin,15.783736,2.071612,1
154,GPU Coin,10.280011,-9.488063,1
155,Adzcoin,13.398,-0.77851945,1
159,EuropeCoin,15.717748,0.24508427,1
160,ZeitCoin,10.96593,-9.19721,1
163,Nebuchadnezzar,15.42472,-14.231653,1
165,BolivarCoin,13.389169,-1.8228304,1
166,Ratecoin,16.234888,0.3228181,1
170,BitSend,15.971621,-0.1831945,1
172,Let it Ride,10.083831,-13.633059,1
177,PizzaCoin,13.639572,-1.8252168,1
178,Lutetium Coin,12.710113,-4.778407,1
180,GoldBlocks,15.939012,-0.55293846,1
185,MustangCoin,16.449402,-1.2962322,1
190,BitCurrency,10.239131,-8.659687,1
195,Opair,15.480248,-13.852388,1
197,Halloween Coin,15.134715,1.6834785,1
199,CoffeeCoin,15.198022,-13.630336,1
202,TeamUP,14.676219,-14.087115,1
206,ARK,4.72036,-13.718877,1
207,InsaneCoin,17.259214,-0.04619517,1
209,ArtexCoin,13.828113,-1.6773906,1
211,XenixCoin,17.136438,-1.0318781,1
212,FreeCoin,14.674618,-14.095478,1
215,Kurrent,13.640608,-0.86034656,1
216,Creatio,15.458428,-14.125143,1
217,Eternity,15.942211,-0.5917265,1
223,Enigma,16.29149,-1.225838,1
226,PandaCoin,10.792352,-9.091195,1
236,KushCoin,17.301773,-0.698588,1
238,PacCoin,12.584309,-0.6389907,1
241,Zilbercoin,10.226938,-8.657994,1
245,VaultCoin,13.816874,-1.1876278,1
250,RenosCoin,10.268787,-9.489985,1
252,VirtacoinPlus,16.438305,-0.18278208,1
254,Impact,16.504509,0.525297,1
256,Atmos,15.191607,-13.628798,1
257,HappyCoin,16.398924,-0.14656332,1
259,MacronCoin,14.798662,-14.3516035,1
260,Condensate,15.51442,0.7558507,1
265,GoldReserve,16.718657,-0.33061993,1
267,GrowthCoin,10.381953,-8.710913,1
269,Phreak,15.464143,-13.828384,1
274,QTUM,10.083925,-13.633059,1
282,DigitalPrice,13.821014,-1.671195,1
288,ArcticCoin,13.813312,-1.7030333,1
289,DAS,12.93479,-1.1983432,1
296,Signatum,10.178624,-6.8772783,1
297,Onix,13.836767,-1.2770395,1
300,Monoeci,16.57822,-0.7687892,1
301,Draftcoin,9.775613,-9.099557,1
304,Stakecoin,15.067184,-14.434004,1
313,Obsidian,5.208042,-8.271605,1
314,Cardano,10.307834,-8.991986,1
315,Regalcoin,17.300198,-0.26731855,1
318,Elements,13.87584,-1.4437863,1
321,Rupee,3.6560001,-3.4714744,1
331,KekCoin,8.903138,-7.706188,1
334,Pura,13.846295,-1.277635,1
338,Magnet,16.726906,0.39716333,1
339,Lamden Tau,4.7202806,-13.718907,1
349,AC3,13.636799,-0.86309016,1
354,PhantomX,16.986498,0.25477013,1
355,Photon,1.7437863,3.1678321,1
356,Sucre,13.12655,-0.8808233,1
363,Monkey Project,12.711471,-4.776356,1
364,Pioneer Coin,13.507643,-1.8415763,1
367,TokenPay,10.083832,-13.633059,1
376,KREDS,3.6293557,-3.4612885,1
382,Crypto Improvement Fund,13.641217,-0.8748752,1
385,Pushi,17.323269,-0.40655416,1
387,Velox,9.920534,-9.436997,1
388,Ontology,12.2954035,-8.219117,1
397,MedicCoin,10.301121,-9.478835,1
399,Bitcoin Green,11.452181,-7.2845044,1
400,Deviant Coin,14.877297,-13.698299,1
403,FuturoCoin,13.772279,-1.1046885,1
405,Zealium,15.085485,-14.431713,1
411,Bitcoin Incognito,13.5722685,4.480105,1
413,HollyWoodCoin,9.781824,-9.157851,1
419,Xt3ch,9.89778,-8.775408,1
428,Muse,5.0882497,-13.584378,1
431,Axe,13.193386,-0.8417684,1
435,Peony Coin,10.497781,-8.904632,1
436,Absolute Coin,3.669517,-3.4026532,1
444,ARENON,12.711418,-4.7764277,1
445,EUNO,17.084307,0.16066173,1
446,MMOCoin,10.273717,-9.488402,1
447,Ketan,14.878549,-13.676395,1
450,PAXEX,12.711385,-4.776469,1
451,Azart,13.217986,-0.82513666,1
