,CoinName,0,1,class
453,Kcash,5.1334076,-8.276883,1
461,Junson Ming Chan Coin,12.689841,-4.8092647,1
476,Dash Platinum,12.711477,-4.776348,1
480,Award,15.636373,0.27994806,1
484,Insane Coin,15.992012,-0.65703315,1
485,ALAX,4.7200546,-13.718989,1
488,TruckCoin,16.298384,0.69370025,1
495,PinkCoin,15.093239,1.3048952,1
499,Piggy Coin,15.094606,1.6282289,1
505,CapriCoin,15.864623,0.6922321,1
507,Radium,14.8701315,-14.395012,1
510,Creditbit ,13.915775,-1.2066373,1
512,Lisk,4.7203536,-13.71888,1
513,HiCoin,10.545231,-9.032159,1
519,EOS,4.720137,-13.718958,1
521,Oxycoin,4.7201157,-13.718967,1
524,Particl,15.4245825,-14.232338,1
526,Nxt,15.774993,-15.323252,1
531,BitcoinPlus,9.901366,-8.76969,1
