,CoinName,0,1,class
4,Ethereum,-5.43463,-21.556215,3
5,Litecoin,-4.6142974,-11.740034,3
7,Monero,-10.909663,-13.907073,3
8,Ethereum Classic,-5.434636,-21.556206,3
9,ZCash,-13.556062,-19.164446,3
11,DigiByte,1.7227118,-19.911943,3
14,ProsperCoin,-2.5407627,-8.22664,3
17,Argentum,-3.0632722,-9.951354,3
20,MyriadCoin,1.7250277,-19.911798,3
21,MoonCoin,-10.268252,-5.4227495,3
23,SexCoin,-6.858951,-12.520308,3
24,Quatloo,-3.366995,-10.795417,3
28,Digitalcoin ,-3.591715,-10.301192,3
30,Catcoin,-2.0427792,-8.545334,3
32,CannaCoin,-1.7831854,-8.19464,3
34,CasinoCoin,-5.9717655,-2.877818,3
36,Verge,1.7227627,-19.911911,3
38,EarthCoin,-7.627158,-7.140599,3
39,E-Gulden,-2.448525,-9.154241,3
40,Einsteinium,-7.3697076,-12.01648,3
41,Emerald,-3.0580428,-9.225251,3
43,FlutterCoin,0.4726235,-11.457634,3
44,Franko,-2.654437,-7.4726496,3
45,FeatherCoin,-10.14229,2.0838478,3
46,GrandCoin,-7.7087817,-10.131923,3
47,GlobalCoin,-4.576567,-11.541981,3
48,GoldCoin,-3.9940324,-11.109131,3
51,Infinite Coin,-9.892494,-5.7570724,3
54,KrugerCoin,-7.056382,-12.359746,3
55,LuckyCoin,-2.3675354,-9.050578,3
56,Litebar ,-2.0815327,-7.2599187,3
58,MegaCoin,-3.6788433,-10.307262,3
59,MediterraneanCoin,-5.0163975,-7.777715,3
61,MinCoin,-1.77646,-8.125122,3
65,NobleCoin,-7.389333,-7.8237734,3
67,NyanCoin,-7.5097623,-11.725629,3
69,Orbitcoin,-10.128777,2.590767,3
73,RonPaulCoin,-2.8463216,-7.8196416,3
74,StableCoin,-5.575448,-12.668158,3
75,SmartCoin,-3.4617646,-10.033333,3
79,TeslaCoin,2.0820272,-19.905024,3
89,ViaCoin,-3.0632455,-9.098848,3
90,VeriCoin,0.45556194,-9.857135,3
92,WorldCoin,-6.860584,-12.521649,3
94,Crypti,2.0820343,-19.905024,3
98,ByteCoin,-18.2165,-7.505038,3
99,DigitalNote ,-19.258816,-8.170071,3
100,BurstCoin,-5.95173,-2.8618243,3
102,MonaCoin,-4.8197737,-12.127188,3
105,Gulden,-7.711677,-10.207231,3
107,PesetaCoin,-6.4508305,-12.6290245,3
109,Wild Beast Coin,-2.0892205,-7.246865,3
111,Flo,-6.577113,-12.586071,3
114,ArtByte,-7.712163,-10.230089,3
115,Folding Coin,-2.219923,-12.393353,3
117,Unitus,1.7251927,-19.911715,3
118,CypherPunkCoin,-3.5002673,0.71640676,3
119,OmniCron,-2.1276932,-7.9151764,3
121,GreenCoin,-7.3747644,-7.9114723,3
122,Cryptonite,-5.7523923,-14.692438,3
123,MasterCoin,-1.7305835,-7.4044294,3
125,1Credit,-9.101234,-6.8501854,3
129,Crypto,-11.962448,-10.521144,3
134,Song Coin,-5.279914,-12.544808,3
135,BitZeny,-6.2724624,-12.678214,3
137,Expanse,-5.4346304,-21.556213,3
139,Siacoin,0.8005577,-13.701341,3
145,Revolution VR,-7.1803865,-12.248279,3
146,HOdlcoin,-1.7448522,-5.0462174,3
149,Gamecredits,-4.695815,-11.895811,3
156,SoilCoin,-1.1749085,-15.91817,3
157,YoCoin,-4.0244846,-11.924889,3
158,SibCoin,-3.1497455,-13.69871,3
162,SafeExchangeCoin,-5.968042,-2.873752,3
164,Francs,-2.4394908,-8.275284,3
171,Omni,-1.6512377,-7.47609,3
179,Komodo,-14.682032,-19.409176,3
182,Karbo,-19.563921,-8.534365,3
187,Circuits of Value,1.7251056,-19.911772,3
189,DopeCoin,-6.4378047,-12.615315,3
192,Swiscoin,1.7610217,-8.322293,3
193,Shilling,-2.943619,-8.677981,3
198,ZCoin,-7.9912558,-16.418524,3
204,Elementrem,-5.4346313,-21.556213,3
205,ZClassic,-13.555792,-19.164545,3
208,KiloCoin,-7.3106465,-8.470822,3
224,Cannabis Industry Coin,-19.975485,-8.298933,3
230,LiteCreed,-3.4875414,0.78937924,3
231,OsmiumCoin,-2.3866844,-7.204806,3
232,Bikercoins,-19.81188,-8.49212,3
233,HexxCoin,-11.962449,-10.521086,3
240,Citadel,-10.909662,-13.907071,3
242,FirstCoin,1.8404113,-10.30889,3
243,BeaverCoin,-2.6007094,-7.336381,3
246,Zero,-13.516775,-19.18436,3
248,Canada eCoin,-5.3696523,-12.272329,3
249,Zoin,-11.962448,-10.521093,3
251,DubaiCoin,-3.6490057,-5.602111,3
255,EB3coin,-7.661397,-9.803003,3
266,BenjiRolls,-3.0228283,-9.418753,3
273,EquiTrader,-3.114804,-10.310493,3
275,Quantum Resistant Ledger,-10.909662,-13.907073,3
277,Dynamic,0.5772378,-6.9025893,3
278,Nano,0.8022106,-13.700522,3
279,ChanCoin,-9.244348,-11.00451,3
280,Dinastycoin,-19.602629,-7.7308927,3
285,Unify,-2.9534636,-8.694117,3
287,SocialCoin,-2.907834,-10.03925,3
291,LeviarCoin,-19.355276,-8.43866,3
293,Bitcore,0.28371134,-8.540811,3
294,gCn Coin,-10.294597,-5.391936,3
303,Sojourn Coin,-7.3113327,-8.461492,3
305,NewYorkCoin,-9.874539,-5.767105,3
306,FrazCoin,-2.1249344,-8.606795,3
307,Kronecoin,-3.444461,-10.743573,3
308,AdCoin,-3.993585,-11.461485,3
309,Linx,-4.0410905,-11.476731,3
312,Sumokoin,-19.807655,-8.496585,3
316,BitcoinZ,-13.635751,-19.09765,3
317,TrezarCoin,-10.128776,2.5907462,3
320,VIVO Coin,-10.142275,2.0838892,3
322,Bitcoin Gold,-13.564127,-19.160755,3
327,Pirl,-1.1749086,-15.918171,3
330,eBoost,-5.371138,-12.277794,3
335,Innova,-10.142275,2.0838873,3
336,Ellaism,-5.4346385,-21.556208,3
337,GoByte,-10.142275,2.0838888,3
342,SHIELD,1.7251264,-19.911732,3
344,UltraNote,-19.073847,-7.8934226,3
345,BitCoal,-19.352644,-8.429313,3
346,DaxxCoin,-5.434916,-21.556074,3
350,Lethean,-10.909663,-13.907071,3
353,PopularCoin,-7.317401,-8.399157,3
357,SparksPay,-10.142275,2.08389,3
359,GunCoin,-10.14232,2.0838213,3
360,IrishCoin,-4.0394044,-11.02583,3
368,1717 Masonic Commemorative Token,-5.2072077,-21.769836,3
369,My Big Coin,-0.112537995,-5.6657233,3
370,TurtleCoin,-17.438301,-7.156083,3
371,MUNcoin,-4.1946716,-14.294446,3
373,Niobio Cash,-20.00803,-8.056717,3
374,ShareChain,-7.5229535,-7.3659616,3
375,Travelflex,-1.1749086,-15.918171,3
378,BiblePay,-6.114957,-5.512362,3
379,LitecoinCash,-5.9799323,-9.988729,3
380,BitFlip,-2.5608547,-9.335125,3
381,LottoCoin,-7.70779,-7.057717,3
384,Poa Network,-3.0449188,-4.1213417,3
389,Callisto Network,-5.43476,-21.556114,3
390,BitTube,-19.90672,-7.8623724,3
391,Poseidon,-2.89163,-8.004354,3
392,Aidos Kuneen,-5.671251,-6.864159,3
396,Bitrolium,-13.51513,-19.184294,3
398,Alpenschillling,-7.9912558,-16.418526,3
406,Monero Classic,-19.345121,-8.420975,3
407,Proton,0.18295173,-1.4037375,3
410,Infinex,-11.962448,-10.521076,3
412,KEYCO,-4.6525836,-6.5249543,3
414,GINcoin,-7.991256,-16.418526,3
415,PlatinCoin,-20.008932,-8.079637,3
416,Loki,-11.633858,-7.758904,3
417,Newton Coin,-18.740744,-7.7396817,3
420,MassGrid,-1.96781,-13.542783,3
422,PluraCoin,-19.720398,-7.7308536,3
425,Lynx,-8.598242,-4.7921066,3
429,Motion,0.16274655,-1.4049261,3
430,PlusOneCoin,-0.9121549,-12.388971,3
432,Trivechain,0.19221912,-1.3260078,3
438,HexCoin,-2.8785708,-7.8843236,3
440,Webchain,-10.909662,-13.907069,3
441,Ryo,-1.3659941,-11.327621,3
443,Qwertycoin,-11.631827,-7.755069,3
454,Xchange,0.16274685,-1.4049256,3
455,Acute Angle Cloud,-4.736301,-4.932536,3
456,CrypticCoin,-13.628809,-19.119064,3
458,Actinium,-7.9912558,-16.418531,3
462,FREDEnergy,-19.467367,-7.823816,3
464,Universal Molecule,-4.2373147,-16.764874,3
465,Lithium,-4.237315,-16.764874,3
466,PirateCash,-13.609426,-19.864109,3
467,Exosis,-5.5208917,-8.513041,3
468,Block-Logic,-4.288476,-11.85474,3
470,Beam,-13.590343,-19.150402,3
472,Bithereum,-13.56789,-19.15954,3
475,SLICE,-3.5002644,0.71640015,3
487,SolarCoin,-9.113693,-6.840186,3
489,UFO Coin,-10.142434,2.0834901,3
491,BlakeCoin,-4.2373223,-16.764874,3
496,Crypto Escudo,-7.7120156,-10.233333,3
502,SmileyCoin,-9.105205,-6.8308816,3
508,Bata,-1.6897445,-7.8897986,3
509,Pakcoin,-5.665256,-12.536767,3
515,FriendshipCoin,-10.128776,2.590765,3
516,JoinCoin,1.7251925,-19.911713,3
518,Vollar,-0.65865123,-10.393466,3
520,Reality Clash,-5.434631,-21.556213,3
523,Waves,-5.4530535,-9.310239,3
525,BitTorrent,-16.852365,-6.8925405,3
529,Beldex,-19.67641,-7.7240324,3
530,Horizen,-13.556031,-19.164457,3
