,CoinName,0,1,class
2,EliteCoin,-4.6819234,-2.6287084,3
4,Ethereum,-13.917867,3.8215535,3
7,Monero,-12.422294,-0.28395727,3
8,Ethereum Classic,-14.132862,3.7523744,3
9,ZCash,-13.597315,3.0130708,3
11,DigiByte,-15.387756,9.849278,3
20,MyriadCoin,-16.07021,9.208879,3
21,MoonCoin,-4.877152,-2.6137536,3
27,Riecoin,-14.515569,4.7953143,3
35,Diamond,-7.288261,15.8865795,3
36,Verge,-15.365885,9.88285,3
45,FeatherCoin,-16.551153,9.644084,3
51,Infinite Coin,-3.8363166,-3.0614595,3
59,MediterraneanCoin,-14.924744,5.7640624,3
69,Orbitcoin,-6.278203,17.15551,3
91,Vertcoin,-15.919608,8.272914,3
98,ByteCoin,-6.3447914,-2.2973683,3
99,DigitalNote ,-11.072468,-1.124454,3
104,FairCoin,-7.288218,15.88662,3
117,Unitus,-16.59333,8.923342,3
122,Cryptonite,-15.9703,8.918396,3
129,Crypto,-15.852338,7.923706,3
137,Expanse,-13.919875,3.8154793,3
139,Siacoin,-10.323507,-1.551471,3
144,Decred,-10.13878,-3.1677418,3
146,HOdlcoin,-11.9838915,-3.0157228,3
152,PWR Coin,-6.140337,16.953695,3
156,SoilCoin,-13.1218405,1.5580543,3
169,VIP Tokens,-6.3579345,17.04274,3
182,Karbo,-12.342408,-1.1705205,3
187,Circuits of Value,-16.118832,9.174621,3
198,ZCoin,-16.292292,8.456167,3
204,Elementrem,-13.921013,3.8148127,3
205,ZClassic,-13.596492,3.0136087,3
224,Cannabis Industry Coin,-12.341894,-1.1709146,3
232,Bikercoins,-12.339497,-1.1708736,3
233,HexxCoin,-15.85618,7.9225774,3
240,Citadel,-12.40101,-0.27936974,3
246,Zero,-13.594563,3.0150187,3
249,Zoin,-15.854112,7.923075,3
251,DubaiCoin,-13.360746,2.121304,3
253,TajCoin,-10.1319065,-3.177643,3
258,Coinonat,-16.723219,9.183459,3
275,Quantum Resistant Ledger,-12.401064,-0.27858537,3
276,Espers,-9.60796,-2.640861,3
277,Dynamic,-11.946416,-2.9009082,3
278,Nano,-11.863807,-2.2599483,3
279,ChanCoin,-11.885703,-1.7764293,3
280,Dinastycoin,-11.656749,-0.9738389,3
281,Denarius,-6.3597293,17.043688,3
283,Virta Unique Coin,-6.3579903,17.042656,3
291,LeviarCoin,-12.332454,-1.1727613,3
294,gCn Coin,-4.9133697,-2.618017,3
295,SmartCash,-15.553505,7.311961,3
305,NewYorkCoin,-3.7926352,-3.0850878,3
312,Sumokoin,-12.326792,-1.1729221,3
316,BitcoinZ,-14.7535095,2.6046472,3
317,TrezarCoin,-6.272572,17.150898,3
320,VIVO Coin,-16.713558,9.560613,3
322,Bitcoin Gold,-13.600795,3.0108972,3
325,NamoCoin,-6.341041,17.032495,3
326,LUXCoin,-6.1236067,17.370829,3
327,Pirl,-13.122057,1.5576221,3
335,Innova,-16.701714,9.567922,3
336,Ellaism,-14.117756,3.7574883,3
337,GoByte,-16.710749,9.562328,3
340,Electra,-5.4841313,16.672995,3
342,SHIELD,-16.16956,9.143241,3
344,UltraNote,-8.896759,-1.6962758,3
345,BitCoal,-12.341261,-1.1717583,3
346,DaxxCoin,-14.505729,3.461671,3
350,Lethean,-12.23331,-0.23011322,3
355,Photon,-8.846357,-1.749341,3
357,SparksPay,-16.714182,9.559875,3
359,GunCoin,-16.52871,9.650442,3
366,Interzone,-11.881135,-2.0193212,3
370,TurtleCoin,-5.9372773,-2.759172,3
373,Niobio Cash,-11.872181,-1.029408,3
375,Travelflex,-13.123057,1.5590587,3
376,KREDS,-15.808935,8.329402,3
383,Stipend,-10.126446,-3.1898396,3
389,Callisto Network,-14.400017,3.555146,3
390,BitTube,-11.834143,-1.0379223,3
392,Aidos Kuneen,-15.173918,6.3523517,3
393,Bitspace,-6.3592696,17.043377,3
396,Bitrolium,-13.798584,2.8946276,3
398,Alpenschillling,-15.895963,8.62932,3
406,Monero Classic,-12.339185,-1.1707996,3
409,Jumpcoin,-16.721996,9.184349,3
410,Infinex,-15.85486,7.923206,3
414,GINcoin,-16.293364,8.455651,3
415,PlatinCoin,-11.873925,-1.0514754,3
416,Loki,-12.01627,-0.54076153,3
417,Newton Coin,-7.179367,-2.0403714,3
420,MassGrid,-15.398607,6.8979154,3
422,PluraCoin,-11.785547,-0.9909965,3
430,PlusOneCoin,-14.707756,5.245849,3
436,Absolute Coin,-6.693531,16.62158,3
440,Webchain,-12.21464,-0.23409624,3
441,Ryo,-12.541565,0.19611879,3
443,Qwertycoin,-6.795107,-2.1422238,3
449,XDNA,-6.9774103,16.273642,3
456,CrypticCoin,-14.3512745,2.788837,3
458,Actinium,-16.29138,8.4577265,3
462,FREDEnergy,-11.419109,-1.0838773,3
464,Universal Molecule,-11.9119,-2.6674213,3
465,Lithium,-11.913014,-2.6673806,3
467,Exosis,-14.279472,4.1450143,3
470,Beam,-13.810612,2.8881197,3
472,Bithereum,-13.784925,2.899736,3
489,UFO Coin,-16.258617,9.752525,3
491,BlakeCoin,-11.754897,-2.6585004,3
504,Groestlcoin,-14.515472,4.795067,3
515,FriendshipCoin,-6.2777944,17.155079,3
516,JoinCoin,-16.596334,8.9205885,3
518,Vollar,-14.078261,3.2960253,3
520,Reality Clash,-13.920571,3.8156445,3
525,BitTorrent,-5.909554,-3.0112333,3
529,Beldex,-11.737537,-0.9836529,3
530,Horizen,-13.597273,3.0130975,3
