,CoinName,0,1,class
0,42 Coin,0.4736296,14.896357,0
1,404Coin,6.145558,19.28611,0
2,EliteCoin,1.0826988,28.389454,0
15,KoboCoin,10.129635,19.326473,0
18,Aurora Coin,0.5155024,17.191357,0
19,BlueCoin,5.282037,20.333008,0
25,EnergyCoin,1.9373233,20.76835,0
26,QuarkCoin,5.2466016,7.6179957,0
27,Riecoin,-4.48301,9.682941,0
29,BitBar,0.17282674,15.019601,0
31,CryptoBullion,0.018965939,15.247052,0
35,Diamond,-4.446295,9.757348,0
49,HoboNickels,2.63683,20.88757,0
57,MaxCoin,-0.93498224,20.214851,0
64,NavCoin,1.3435867,29.180948,0
68,OpalCoin,0.90011156,29.254326,0
70,PotCoin,4.8902345,20.820612,0
71,PhoenixCoin,2.24433,20.649979,0
72,Reddcoin,5.580665,15.79967,0
81,TittieCoin,2.4649594,12.136076,0
87,UnitaryStatus Dollar,6.1329007,18.84914,0
88,UltraCoin,1.9479831,20.271265,0
96,StealthCoin,0.9001293,29.25417,0
97,ZCC Coin,5.646403,20.37557,0
104,FairCoin,-4.446641,9.7572975,0
108,Kore,0.90008706,29.25438,0
112,8BIT Coin,0.8010141,14.98926,0
113,Sativa Coin,0.9001053,29.254345,0
120,Vtorrent,0.45609474,16.7857,0
127,Nexus,-1.0679247,20.299057,0
131,Droidz,3.6518676,16.839153,0
138,Paycon,0.900287,29.253996,0
141,EverGreenCoin,10.129636,19.326471,0
152,PWR Coin,-6.0055103,18.881002,0
153,BillaryCoin,1.2601504,17.484894,0
169,VIP Tokens,-6.006506,18.880703,0
173,PutinCoin,6.13373,18.857376,0
174,iBankCoin,1.4092054,17.232956,0
175,Frankywillcoin,2.593488,20.919687,0
176,MudraCoin,1.5029827,30.162415,0
181,CarterCoin,1.7452227,19.998106,0
186,ZoneCoin,0.2362417,16.259,0
188,RootCoin,0.95497185,15.021699,0
194,BuzzCoin,7.435601,23.616438,0
196,PesoBit,0.46032926,17.59817,0
200,RoyalCoin,1.50298,30.162472,0
201,GanjaCoin V2,7.5390606,17.302835,0
203,LanaCoin,7.435581,23.616455,0
210,EmberCoin,1.1408491,28.786482,0
213,PLNCoin,1.1146579,17.870157,0
214,AquariusCoin,1.450313,16.898846,0
219,BitcoinFast,0.9121527,17.894655,0
221,BitConnect Coin,0.99848604,17.036343,0
222,MoneyCoin,4.6258607,20.97077,0
225,Russiacoin,1.9458075,19.828743,0
227,GameUnits,0.16915208,16.027504,0
228,GAKHcoin,-0.0242567,15.629033,0
229,Allsafe,5.8372116,7.3814735,0
234,Klingon Empire Darsek,4.210927,21.023016,0
237,Printerium,0.98517436,16.688223,0
239,Impeach,0.8450298,15.97345,0
244,FindCoin,1.502982,30.162462,0
247,OpenChat,6.158652,19.102295,0
253,TajCoin,3.747805,18.103727,0
258,Coinonat,-6.469449,18.776104,0
261,Independent Money System,0.69859385,16.310886,0
262,ArgusCoin,1.3142598,16.254667,0
263,LomoCoin,5.432183,20.66983,0
270,Degas Coin,1.6732035,19.647747,0
271,HTML5 Coin,10.12938,19.326296,0
276,Espers,3.5614166,15.011899,0
281,Denarius,-6.0064254,18.880756,0
283,Virta Unique Coin,-6.006511,18.880701,0
284,Bitcoin Planet,8.650818,15.176405,0
286,BritCoin,1.3436073,29.180971,0
290,Linda,5.5815034,15.55955,0
292,DeepOnion,1.3436136,29.18099,0
295,SmartCash,-0.11812331,8.934394,0
298,Cream,8.650857,15.1763735,0
310,CoinonatX,1.2419212,18.287176,0
311,Ethereum Dark,0.045172606,15.713983,0
319,TerraNovaCoin,1.1592209,15.727113,0
323,WomenCoin,5.568464,14.915468,0
325,NamoCoin,-6.0065017,18.880722,0
326,LUXCoin,2.4748983,12.157263,0
328,Xios,1.2376575,16.005285,0
329,Bitcloud 2.0,5.529209,8.153978,0
332,BlackholeCoin,0.35366014,16.949492,0
340,Electra,-5.9986506,18.88431,0
341,Bitcoin Diamond,1.3432522,29.180178,0
343,Cash & Back Coin,3.427994,20.99366,0
347,Bulwark,-6.315681,18.597797,0
348,Kalkulus,5.837211,7.381473,0
351,GermanCoin,5.580583,15.622811,0
352,LiteCoin Ultra,2.0088475,19.894138,0
358,Digiwage,5.8371944,7.381467,0
361,Trollcoin,6.0384274,19.62309,0
362,Litecoin Plus,1.1387796,15.348275,0
366,Interzone,-1.6450998,5.3142104,0
372,Unified Society USDEX,4.439842,20.960297,0
377,Tokyo Coin,1.5032192,30.16213,0
383,Stipend,-1.631271,5.3690553,0
386,Ellerium,11.224727,10.942203,0
393,Bitspace,-6.0065117,18.880701,0
394,Briacoin,0.4601482,15.242692,0
395,Ignition,1.1588615,15.294886,0
401,Abjcoin,1.2954,16.950642,0
404,Carebit,5.5292068,8.153979,0
408,iDealCash,5.8432145,18.050327,0
409,Jumpcoin,-6.469446,18.776104,0
418,Swisscoin,5.538905,16.933348,0
421,TheVig,7.4355464,23.61649,0
423,EmaratCoin,1.5685732,19.255344,0
424,Dekado,10.144895,19.327438,0
426,Poseidon Quark,5.8370953,7.38143,0
433,Dystem,5.8372107,7.381473,0
434,Giant,5.5292153,8.153978,0
437,Vitae,5.8371997,7.381468,0
439,TPCash,5.4363365,20.662968,0
442,Urals Coin,11.249479,10.89007,0
449,XDNA,-0.10257361,8.996674,0
452,ThunderStake,5.5670176,17.138412,0
457,Bettex coin,11.2557535,10.882939,0
460,BitMoney,11.01704,11.362346,0
463,HerbCoin,5.5292115,8.153978,0
469,Oduwa,0.6322634,17.09056,0
471,Galilel,5.529217,8.153976,0
473,Crypto Sports,5.8372107,7.3814735,0
474,Credit,5.560611,14.836108,0
477,Nasdacoin,1.5732868,19.209188,0
478,Beetle Coin,11.224724,10.942246,0
479,Titan Coin,7.43556,23.61648,0
482,Bitcoin Rhodium,0.7646792,29.98993,0
486,LiteDoge,5.581621,15.614872,0
490,OrangeCoin,2.4178827,20.234285,0
492,BitstarCoin,1.2975926,18.50765,0
494,HyperCoin,0.5206379,15.754088,0
497,AudioCoin,5.692853,17.61956,0
501,Genstake,1.2427588,19.159624,0
503,XiaoMiCoin,5.373689,20.455557,0
504,Groestlcoin,-4.483014,9.682913,0
506, ClubCoin,3.0824497,20.982319,0
514,WhiteCoin,4.7101655,20.878605,0
517,Triangles Coin,0.9000383,29.254456,0
528,Gapcoin,2.8640943,20.671871,0
